"merchant","top_5_cc_amount","total_card_amount","top_5_concentration_pct"
"fraud_Schmeler-Howe","3485.91","108922.61","3.20"
"fraud_Mosciski, Gislason and Mertz","11334.78","353812.27","3.20"
"fraud_Baumbach Ltd","3315.84","104056.63","3.19"
"fraud_Koss, McLaughlin and Mayer","3669.36","115511.31","3.18"
"fraud_Kunze Inc","11402.33","358172.04","3.18"
"fraud_Runte-Mohr","3624.25","114415.23","3.17"
"fraud_Waelchi Inc","5150.85","162297.11","3.17"
"fraud_Denesik, Powlowski and Pouros","5711.37","180345.40","3.17"
"fraud_Bechtelar-Rippin","3708.43","117056.05","3.17"
"fraud_Haley, Batz and Auer","3802.18","120387.50","3.16"
"fraud_Goodwin-Nitzsche","11497.71","363543.07","3.16"
"fraud_Schamberger-O'Keefe","11281.76","357361.88","3.16"
"fraud_Koepp-Witting","10844.00","343260.24","3.16"
"fraud_Hirthe-Beier","3803.60","120532.13","3.16"
"fraud_Bailey-Morar","11124.50","352398.63","3.16"
"fraud_Renner Ltd","5874.04","186621.00","3.15"
"fraud_Lockman Ltd","11384.20","361487.64","3.15"
"fraud_McDermott-Weimann","11105.30","354141.09","3.14"
"fraud_Zboncak LLC","3471.30","110618.58","3.14"
"fraud_Langosh, Wintheiser and Hyatt","3562.56","113413.59","3.14"
"fraud_Roberts, Ryan and Smith","3474.00","110632.06","3.14"
"fraud_Prosacco LLC","3430.27","109188.81","3.14"
"fraud_Klocko, Runolfsdottir and Breitenberg","3501.82","111932.87","3.13"
"fraud_Hermiston, Pacocha and Smith","3427.99","109470.74","3.13"
"fraud_Turcotte, McKenzie and Koss","4770.68","152521.39","3.13"
"fraud_Langworth LLC","3440.26","110025.11","3.13"
"fraud_Padberg-Rogahn","4604.28","147131.71","3.13"
"fraud_Koepp-Parker","10986.81","351763.15","3.12"
"fraud_Armstrong, Walter and Gottlieb","3686.79","118236.64","3.12"
"fraud_Heller PLC","3450.99","110570.87","3.12"
"fraud_Moen, Reinger and Murphy","10720.91","344850.25","3.11"
"fraud_Schulist Ltd","3753.27","120532.14","3.11"
"fraud_Schaefer Ltd","5061.87","163042.21","3.10"
"fraud_Hackett-Lueilwitz","11263.54","362923.92","3.10"
"fraud_Adams-Barrows","3561.14","115251.63","3.09"
"fraud_Abshire PLC","4796.57","155156.46","3.09"
"fraud_Kihn-Schuster","3490.44","113423.71","3.08"
"fraud_Larkin Ltd","4828.22","156933.31","3.08"
"fraud_Hintz, Bauch and Smith","3501.13","113671.40","3.08"
"fraud_Bode-Schuster","4954.55","161412.99","3.07"
"fraud_Bahringer-Streich","3440.90","112217.19","3.07"
"fraud_Torphy-Kertzmann","3395.13","110612.63","3.07"
"fraud_Abernathy and Sons","3470.54","113161.47","3.07"
"fraud_Bahringer, Osinski and Block","3379.08","110375.69","3.06"
"fraud_Breitenberg-Hermiston","4722.29","154280.29","3.06"
"fraud_Lesch, D'Amore and Brown","3413.18","111661.04","3.06"
"fraud_Conroy-Emard","3410.89","111976.40","3.05"
"fraud_Kihn-Fritsch","3618.59","118822.83","3.05"
"fraud_Haag-Blanda","3485.48","114736.43","3.04"
"fraud_Shanahan-Lehner","3260.57","107253.86","3.04"
"fraud_Bradtke, Torp and Bahringer","3254.49","107291.97","3.03"
"fraud_Roob-Okuneva","3429.95","113740.67","3.02"
"fraud_Rau-Grant","5119.11","169570.56","3.02"
"fraud_Weimann-Lockman","5045.84","166882.46","3.02"
"fraud_O'Hara-Wilderman","3509.82","116196.28","3.02"
"fraud_Schroeder Group","3391.47","112632.71","3.01"
"fraud_Padberg-Sauer","5359.76","177847.44","3.01"
"fraud_Crist, Jakubowski and Littel","5273.60","175119.48","3.01"
"fraud_Cartwright PLC","4907.24","163202.05","3.01"
"fraud_Kertzmann LLC","3428.77","114221.36","3.00"
"fraud_Ziemann-Waters","3413.40","113650.51","3.00"
"fraud_Harris Group","3576.82","119356.62","3.00"
"fraud_Kub PLC","3162.58","105719.76","2.99"
"fraud_Kozey-Kuhlman","3211.11","107426.00","2.99"
"fraud_Kub-Heaney","3375.98","112844.52","2.99"
"fraud_Kulas Group","3467.97","116528.78","2.98"
"fraud_Dietrich-Fadel","3458.69","115997.62","2.98"
"fraud_Konopelski, Schneider and Hartmann","3262.92","109325.62","2.98"
"fraud_Skiles LLC","5263.40","176440.47","2.98"
"fraud_Fadel Inc","3522.21","118071.05","2.98"
"fraud_Daugherty LLC","4782.85","160288.22","2.98"
"fraud_Osinski Inc","3248.50","109453.65","2.97"
"fraud_Shields-Wunsch","3476.88","116931.82","2.97"
"fraud_Hettinger, McCullough and Fay","5273.07","178443.05","2.96"
"fraud_Rau-Robel","4852.05","164141.17","2.96"
"fraud_Rowe, Batz and Goodwin","10377.41","350852.07","2.96"
"fraud_Auer LLC","3237.99","109528.54","2.96"
"fraud_Kling, Howe and Schneider","5246.04","177790.38","2.95"
"fraud_Cole PLC","10641.50","361184.53","2.95"
"fraud_Kuphal-Toy","3530.07","119575.75","2.95"
"fraud_Kutch, Steuber and Gerhold","3582.91","121982.23","2.94"
"fraud_Kovacek, Dibbert and Ondricka","10452.39","355952.69","2.94"
"fraud_Gottlieb Group","4625.35","157388.57","2.94"
"fraud_Cronin, Kshlerin and Weber","3344.58","114264.11","2.93"
"fraud_Fadel-Hilpert","3240.91","110771.07","2.93"
"fraud_Rolfson-Kunde","3123.64","106544.95","2.93"
"fraud_McKenzie-Huels","3281.25","111951.32","2.93"
"fraud_Berge-Hills","4788.43","163927.76","2.92"
"fraud_O'Keefe-Hudson","10480.54","358435.49","2.92"
"fraud_Schoen-Quigley","4809.26","164691.40","2.92"
"fraud_Schiller Ltd","3148.57","108039.69","2.91"
"fraud_Altenwerth-Kilback","5168.14","178128.08","2.90"
"fraud_Thompson-Gleason","3350.09","115331.73","2.90"
"fraud_Connelly PLC","3428.23","118781.82","2.89"
"fraud_Ratke and Sons","3247.36","112248.99","2.89"
"fraud_Leannon-Ward","3440.02","118875.99","2.89"
"fraud_Abbott-Steuber","3197.17","110578.62","2.89"
"fraud_Prosacco, Kreiger and Kovacek","4928.25","171273.54","2.88"
"fraud_Botsford PLC","4932.42","171015.35","2.88"
"fraud_Runte, Green and Emard","3371.39","116966.47","2.88"
"fraud_Lockman, West and Runte","10534.73","366784.38","2.87"
"fraud_Stracke-Lemke","10285.51","358424.59","2.87"
"fraud_Streich Ltd","5120.44","179348.32","2.86"
"fraud_Schiller, Blanda and Johnson","5222.29","182373.22","2.86"
"fraud_Hammes-Beatty","4423.06","154671.89","2.86"
"fraud_Pouros, Walker and Spencer","4664.24","163504.59","2.85"
"fraud_Swaniawski, Nitzsche and Welch","3318.06","116508.49","2.85"
"fraud_Schoen Ltd","4639.64","162959.77","2.85"
"fraud_Deckow-Dare","3312.99","116422.91","2.85"
"fraud_Gulgowski LLC","5236.14","184177.37","2.84"
"fraud_Hills-Boyer","3164.17","111523.47","2.84"
"fraud_Volkman PLC","3332.31","117264.44","2.84"
"fraud_Wolf Inc","9892.11","350073.17","2.83"
"fraud_Little Ltd","4474.46","158242.71","2.83"
"fraud_McCullough, Hudson and Schuster","3210.50","113937.39","2.82"
"fraud_Greenholt Ltd","3185.69","113323.64","2.81"
"fraud_Graham and Sons","3189.51","113359.31","2.81"
"fraud_Mueller, Gerhold and Mueller","3464.46","123273.90","2.81"
"fraud_Zboncak Ltd","3343.58","119473.83","2.80"
"fraud_Gutmann, McLaughlin and Wiza","4983.04","178191.62","2.80"
"fraud_Carroll PLC","3227.59","115334.34","2.80"
"fraud_Hyatt, Russel and Gleichner","3319.88","118674.39","2.80"
"fraud_Lubowitz, Terry and Stracke","2930.38","104805.66","2.80"
"fraud_Rippin-VonRueden","3319.35","119122.73","2.79"
"fraud_Yost, Schamberger and Windler","4536.71","163578.36","2.77"
"fraud_Quitzon-Goyette","5017.70","180859.39","2.77"
"fraud_Brown Inc","4414.93","159535.13","2.77"
"fraud_Torp, Muller and Borer","3211.07","116519.28","2.76"
"fraud_Schmidt-Larkin","4645.73","168073.35","2.76"
"fraud_Koss, Hansen and Lueilwitz","4761.51","173307.45","2.75"
"fraud_Roberts, Daniel and Macejkovic","4324.52","157416.88","2.75"
"fraud_Moore, Williamson and Emmerich","4744.57","172445.08","2.75"
"fraud_Hilpert-Conroy","4599.06","167530.44","2.75"
"fraud_Becker, Harris and Harvey","3116.85","113885.28","2.74"
"fraud_Gerhold LLC","4630.87","169016.32","2.74"
"fraud_Nolan-Williamson","4364.55","159183.16","2.74"
"fraud_Barton LLC","4536.44","165608.46","2.74"
"fraud_Hoppe-Parisian","4611.24","168994.19","2.73"
"fraud_Hermiston, Russel and Price","3322.37","121522.80","2.73"
"fraud_McDermott, Osinski and Morar","4811.70","176987.63","2.72"
"fraud_Eichmann-Kilback","4975.21","183229.83","2.72"
"fraud_Stark-Koss","4838.63","177873.60","2.72"
"fraud_Pacocha-Weissnat","4453.57","163960.39","2.72"
"fraud_Pollich LLC","4867.36","178647.14","2.72"
"fraud_Jakubowski Inc","4834.83","177891.56","2.72"
"fraud_Collier LLC","4782.73","176449.46","2.71"
"fraud_Wilkinson PLC","4201.43","154876.45","2.71"
"fraud_Berge-Ullrich","4720.22","174127.00","2.71"
"fraud_Bogisich-Weimann","4285.93","158500.80","2.70"
"fraud_Waelchi-Wolf","4389.67","162709.34","2.70"
"fraud_Fahey Inc","4343.58","161765.02","2.69"
"fraud_Kiehn-Emmerich","9706.88","361791.01","2.68"
"fraud_Waters-Cruickshank","3205.47","119767.64","2.68"
"fraud_Beer-Jast","4508.33","168146.82","2.68"
"fraud_Windler, Goodwin and Kovacek","4670.83","174250.79","2.68"
"fraud_Rodriguez Group","5625.01","210524.51","2.67"
"fraud_Ernser-Feest","4827.29","180876.03","2.67"
"fraud_Hamill-D'Amore","3109.45","116715.42","2.66"
"fraud_Terry Ltd","4698.54","176830.54","2.66"
"fraud_Wuckert, Wintheiser and Friesen","4618.53","174152.12","2.65"
"fraud_White and Sons","4845.30","182983.27","2.65"
"fraud_Bednar PLC","4069.16","153675.00","2.65"
"fraud_Wuckert-Goldner","4492.75","170202.48","2.64"
"fraud_Champlin and Sons","4535.82","172007.91","2.64"
"fraud_Streich, Hansen and Veum","5434.01","206735.20","2.63"
"fraud_Crona and Sons","4310.14","163590.27","2.63"
"fraud_Lubowitz-Walter","4151.42","157922.43","2.63"
"fraud_Torp-Labadie","5382.84","204857.96","2.63"
"fraud_Romaguera, Wehner and Tromp","4324.87","165162.99","2.62"
"fraud_Eichmann, Bogan and Rodriguez","5488.09","209299.19","2.62"
"fraud_O'Connell-Ullrich","4462.50","171273.43","2.61"
"fraud_Kutch-Ferry","4378.02","167909.35","2.61"
"fraud_Friesen-Stamm","5399.59","206797.42","2.61"
"fraud_Swift PLC","4180.21","160245.38","2.61"
"fraud_Beier and Sons","4568.21","175644.87","2.60"
"fraud_Witting, Beer and Ernser","4456.73","171633.23","2.60"
"fraud_Medhurst Inc","4519.86","174012.78","2.60"
"fraud_Gaylord-Powlowski","4583.02","177074.88","2.59"
"fraud_Bernier and Sons","4168.22","161772.83","2.58"
"fraud_Bahringer, Bergnaum and Quitzon","4698.52","181959.69","2.58"
"fraud_Ruecker-Mayert","4200.00","162929.25","2.58"
"fraud_Brekke and Sons","5350.96","207276.70","2.58"
"fraud_Kilback LLC","12368.79","481107.08","2.57"
"fraud_Kutch-Wilderman","4437.99","172930.41","2.57"
"fraud_Parisian and Sons","5407.51","210297.56","2.57"
"fraud_Hills, Hegmann and Schaefer","2948.46","115172.55","2.56"
"fraud_Harber Inc","5186.28","203062.16","2.55"
"fraud_Ledner-Pfannerstill","5301.71","207709.17","2.55"
"fraud_Olson, Becker and Koch","5352.43","210754.22","2.54"
"fraud_Windler LLC","4068.21","160108.54","2.54"
"fraud_Metz, Russel and Metz","4073.09","160165.68","2.54"
"fraud_Connelly-Carter","4526.27","178823.43","2.53"
"fraud_Berge LLC","5264.52","209276.83","2.52"
"fraud_Heller-Langosh","5093.71","202525.85","2.52"
"fraud_Zieme, Bode and Dooley","5158.69","204434.80","2.52"
"fraud_Bode-Rempel","3995.81","158331.70","2.52"
"fraud_Lind, Huel and McClure","5218.15","206783.43","2.52"
"fraud_Koss and Sons","5193.83","206761.11","2.51"
"fraud_Goyette-Gerhold","4243.29","169108.57","2.51"
"fraud_Raynor, Reinger and Hagenes","5162.30","206499.70","2.50"
"fraud_Dare, Casper and Bartoletti","3843.94","153558.88","2.50"
"fraud_Kutch LLC","5217.53","208547.43","2.50"
"fraud_Sporer Inc","5074.92","204003.80","2.49"
"fraud_Lowe, Dietrich and Erdman","4028.16","162678.26","2.48"
"fraud_Hauck, Dietrich and Funk","3984.57","160540.80","2.48"
"fraud_Christiansen, Goyette and Schamberger","5113.07","207207.98","2.47"
"fraud_O'Reilly, Mohr and Purdy","4513.35","183199.46","2.46"
"fraud_Champlin-Casper","4342.09","176602.20","2.46"
"fraud_Luettgen PLC","4960.50","202647.42","2.45"
"fraud_Erdman-Kertzmann","5122.87","210191.22","2.44"
"fraud_Lynch-Wisozk","4379.24","179267.52","2.44"
"fraud_O'Connell, Botsford and Hand","4408.86","181512.29","2.43"
"fraud_Connelly, Reichert and Fritsch","5070.93","208759.92","2.43"
"fraud_Cole, Hills and Jewess","4316.35","178432.67","2.42"
"fraud_Reilly LLC","4124.84","170762.15","2.42"
"fraud_Robel, Cummerata and Prosacco","4940.58","203835.47","2.42"
"fraud_Prohaska-Murray","5031.16","208026.33","2.42"
"fraud_Botsford and Sons","4288.31","178120.70","2.41"
"fraud_Durgan, Gislason and Spencer","4096.61","170643.85","2.40"
"fraud_Schaefer, McGlynn and Bosco","4916.12","204996.86","2.40"
"fraud_Schimmel-Olson","3738.66","155456.23","2.40"
"fraud_Tillman, Dickinson and Labadie","4904.98","205527.02","2.39"
"fraud_Harris Inc","4910.83","205488.69","2.39"
"fraud_Stroman, Hudson and Erdman","5097.29","213540.26","2.39"
"fraud_Emard Inc","5103.87","214433.36","2.38"
"fraud_Ullrich Ltd","3748.39","157335.07","2.38"
"fraud_Gleason and Sons","3783.27","159073.39","2.38"
"fraud_Bernhard Inc","4796.06","202535.92","2.37"
"fraud_Corwin-Collins","5022.10","212318.16","2.37"
"fraud_Conroy-Cruickshank","4849.25","205451.02","2.36"
"fraud_Bartoletti-Wunsch","4965.54","210508.63","2.36"
"fraud_Kling Inc","5025.61","212983.47","2.36"
"fraud_Raynor, Feest and Miller","4814.90","203853.33","2.36"
"fraud_Marks Inc","4736.79","201730.42","2.35"
"fraud_Cummerata-Jones","4882.34","209979.84","2.33"
"fraud_Mraz-Herzog","4850.33","207991.37","2.33"
"fraud_Reilly, Heaney and Cole","4625.48","201231.36","2.30"
"fraud_Huels-Nolan","4680.67","203951.99","2.29"
"fraud_Kuvalis Ltd","4599.93","202308.34","2.27"
"fraud_Friesen-D'Amore","4541.08","200942.66","2.26"
"fraud_Huels-Hahn","4728.04","210887.56","2.24"
"fraud_Schmitt Inc","4576.42","204970.27","2.23"
"fraud_Kutch, Hermiston and Farrell","4487.35","202463.25","2.22"
"fraud_Schaefer, Maggio and Daugherty","4458.13","202113.17","2.21"
"fraud_Bins-Rice","4505.82","204335.68","2.21"
"fraud_Cummings LLC","4500.10","203771.89","2.21"
"fraud_Jenkins, Hauck and Friesen","4554.49","208822.06","2.18"
"fraud_Greenholt, Jacobi and Gleason","4489.77","209811.46","2.14"
