"merchant","transaction_count","fraud_count","total_amount","total_fraud_amount","fraud_rate_pct"
"fraud_Buckridge PLC","1978","5","128174.27","81.48","0.25"
"fraud_Swift PLC","2828","7","160245.38","132.43","0.25"
"fraud_Christiansen-Gusikowski","2014","5","119660.78","899.69","0.25"
"fraud_Raynor, Feest and Miller","3207","8","203853.33","90.69","0.25"
"fraud_Little Ltd","2849","7","158242.71","141.90","0.25"
"fraud_Conroy, Balistreri and Gorczany","2125","5","118995.91","94.65","0.24"
"fraud_Dare, Fritsch and Zboncak","2087","5","108849.13","98.76","0.24"
"fraud_Thompson-Gleason","2096","5","115331.73","95.36","0.24"
"fraud_Berge LLC","3273","8","209276.83","83.65","0.24"
"fraud_Stamm-Rodriguez","2053","5","120983.56","81.21","0.24"
"fraud_Koss, Hansen and Lueilwitz","2928","7","173307.45","1849.92","0.24"
"fraud_Romaguera, Wehner and Tromp","2876","7","165162.99","137.33","0.24"
"fraud_Jacobi Inc","2069","5","112945.01","102.12","0.24"
"fraud_Beer-Jast","2881","7","168146.82","127.83","0.24"
"fraud_Hermann-Gaylord","2043","5","128841.78","80.89","0.24"
"fraud_Skiles LLC","3014","7","176440.47","1748.82","0.23"
"fraud_Kling, Howe and Schneider","3036","7","177790.38","2012.09","0.23"
"fraud_Kirlin and Sons","2203","5","107806.95","132.77","0.23"
"fraud_Shields-Wunsch","2179","5","116931.82","104.55","0.23"
"fraud_Lynch-Wisozk","3076","7","179267.52","1772.40","0.23"
"fraud_Terry Ltd","3080","7","176830.54","1753.73","0.23"
"fraud_Erdman-Schaden","2215","5","106386.03","100.95","0.23"
"fraud_Turner, Ziemann and Lehner","2205","5","112523.93","629.23","0.23"
"fraud_Watsica LLC","2184","5","104770.86","160.62","0.23"
"fraud_Botsford PLC","2999","7","171015.35","1846.11","0.23"
"fraud_Bahringer-Streich","2207","5","112217.19","630.88","0.23"
"fraud_Parker-Kunde","2261","5","105440.85","99.15","0.22"
"fraud_Cruickshank-Mills","2314","5","151935.83","2558.32","0.22"
"fraud_Morissette-Schaefer","2269","5","104151.24","129.25","0.22"
"fraud_Haag-Blanda","2261","5","114736.43","567.85","0.22"
"fraud_Schmeler-Howe","2236","5","108922.61","136.18","0.22"
"fraud_Hammes-Beatty","2720","6","154671.89","129.22","0.22"
"fraud_Larkin, Stracke and Greenfelder","2269","5","143572.63","2338.48","0.22"
"fraud_Roberts, Ryan and Smith","2233","5","110632.06","158.30","0.22"
"fraud_Reichel LLC","2223","5","107720.64","97.98","0.22"
"fraud_Rolfson-Kunde","2227","5","106544.95","124.88","0.22"
"fraud_Schneider, Hayes and Nikolaus","2249","5","114795.81","664.69","0.22"
"fraud_Bartoletti and Sons","2279","5","116441.47","102.92","0.22"
"fraud_Schroeder, Hauck and Treutel","2280","5","148444.12","2765.70","0.22"
"fraud_Torp-Labadie","3219","7","204857.96","97.41","0.22"
"fraud_Feil, Hilpert and Koss","2266","5","116187.79","567.76","0.22"
"fraud_Marvin-Lind","2233","5","108368.48","168.47","0.22"
"fraud_Daugherty LLC","2765","6","160288.22","104.55","0.22"
"fraud_Yost-Rogahn","2323","5","110325.56","168.17","0.22"
"fraud_Baumbach Ltd","2251","5","104056.63","112.54","0.22"
"fraud_Kozey-Kuhlman","2240","5","107426.00","135.18","0.22"
"fraud_Lind-Buckridge","2263","5","146793.82","2542.10","0.22"
"fraud_Dare-Marvin","2242","5","146459.64","2630.63","0.22"
"fraud_Eichmann-Russel","1909","4","114183.59","841.75","0.21"
"fraud_Ruecker-Mayert","2831","6","162929.25","121.98","0.21"
"fraud_Douglas, DuBuque and McKenzie","961","2","127964.19","17.15","0.21"
"fraud_Medhurst, Labadie and Gottlieb","964","2","112434.17","20.99","0.21"
"fraud_Douglas-White","2355","5","146765.11","2713.27","0.21"
"fraud_Dibbert and Sons","2368","5","156038.71","2413.06","0.21"
"fraud_Frami Group","2338","5","147824.10","2602.80","0.21"
"fraud_Auer LLC","2348","5","109528.54","124.84","0.21"
"fraud_Pouros, Walker and Spencer","2847","6","163504.59","103.22","0.21"
"fraud_Weimann-Lockman","2865","6","166882.46","121.50","0.21"
"fraud_Brown-Greenholt","2374","5","150971.72","2510.98","0.21"
"fraud_Hoppe-Parisian","2899","6","168994.19","103.27","0.21"
"fraud_Roberts-Beahan","1920","4","114499.76","949.21","0.21"
"fraud_Bogisich-Weimann","2801","6","158500.80","98.82","0.21"
"fraud_Welch, Rath and Koepp","2351","5","154882.33","2621.47","0.21"
"fraud_Jerde-Hermann","964","2","85742.37","13.48","0.21"
"fraud_Schaefer Ltd","2848","6","163042.21","96.64","0.21"
"fraud_Zboncak Ltd","2340","5","119473.83","566.66","0.21"
"fraud_Schoen Ltd","2869","6","162959.77","110.00","0.21"
"fraud_Schoen-Quigley","2799","6","164691.40","110.84","0.21"
"fraud_Goyette-Herzog","984","2","107659.69","20.14","0.20"
"fraud_Lynch-Mohr","1018","2","102907.99","19.30","0.20"
"fraud_Kilback, Nitzsche and Leffler","976","2","89025.72","9.68","0.20"
"fraud_Williamson LLC","2033","4","130124.52","1522.19","0.20"
"fraud_Wuckert, Wintheiser and Friesen","3040","6","174152.12","1478.73","0.20"
"fraud_Kutch-Ferry","2938","6","167909.35","1391.05","0.20"
"fraud_Gaylord-Powlowski","3044","6","177074.88","1628.11","0.20"
"fraud_Veum-Koelpin","1020","2","96882.04","20.87","0.20"
"fraud_Smith-Stokes","1997","4","118774.51","907.52","0.20"
"fraud_Maggio-Fahey","2000","4","123180.99","1562.84","0.20"
"fraud_Tillman LLC","1022","2","128049.72","21.32","0.20"
"fraud_McGlynn-Jaskolski","1976","4","127965.35","852.89","0.20"
"fraud_McDermott-Rice","2008","4","123835.16","1691.54","0.20"
"fraud_Schroeder, Wolff and Hermiston","1005","2","115247.64","18.08","0.20"
"fraud_McDermott, Osinski and Morar","3085","6","176987.63","1527.47","0.19"
"fraud_Emmerich-Rau","2144","4","105634.67","136.17","0.19"
"fraud_Sporer Inc","3200","6","204003.80","75.20","0.19"
"fraud_Dare-Gibson","2068","4","114910.01","84.05","0.19"
"fraud_Hartmann, Rowe and Hermann","1057","2","98789.47","11.78","0.19"
"fraud_Howe Ltd","2069","4","123099.62","1506.23","0.19"
"fraud_Flatley Group","2056","4","122327.08","1691.11","0.19"
"fraud_Botsford and Sons","3084","6","178120.70","1751.92","0.19"
"fraud_Thiel Ltd","1050","2","89211.71","20.41","0.19"
"fraud_Zulauf LLC","2283","4","111746.23","75.14","0.18"
"fraud_Abernathy and Sons","2186","4","113161.47","481.68","0.18"
"fraud_Adams-Barrows","2194","4","115251.63","84.48","0.18"
"fraud_Barton LLC","2833","5","165608.46","109.18","0.18"
"fraud_Ernser-Lynch","2270","4","118454.54","453.62","0.18"
"fraud_Funk Group","1114","2","59086.86","32.05","0.18"
"fraud_Gottlieb Group","2820","5","157388.57","104.04","0.18"
"fraud_Haley, Batz and Auer","2191","4","120387.50","86.43","0.18"
"fraud_Hirthe-Beier","2186","4","120532.13","74.83","0.18"
"fraud_Hyatt, Russel and Gleichner","2222","4","118674.39","71.86","0.18"
"fraud_Kilback and Sons","2282","4","149992.59","2305.10","0.18"
"fraud_Kilback Group","2261","4","117431.93","492.52","0.18"
"fraud_Koss, McLaughlin and Mayer","2273","4","115511.31","492.92","0.18"
"fraud_Monahan-Morar","2196","4","105249.61","78.31","0.18"
"fraud_Nader-Maggio","2218","4","106858.96","143.07","0.18"
"fraud_Nolan-Williamson","2710","5","159183.16","103.64","0.18"
"fraud_O'Hara-Wilderman","2284","4","116196.28","481.26","0.18"
"fraud_O'Keefe-Wisoky","2212","4","109901.83","489.62","0.18"
"fraud_Pfeffer LLC","1088","2","57733.33","23.97","0.18"
"fraud_Prosacco LLC","2266","4","109188.81","82.36","0.18"
"fraud_Roberts, Daniel and Macejkovic","2748","5","157416.88","95.27","0.18"
"fraud_Schoen, Nienow and Bauch","2242","4","111734.23","80.76","0.18"
"fraud_Schuppe-Schuppe","2241","4","112757.82","454.67","0.18"
"fraud_Skiles-Ankunding","1124","2","61088.85","29.27","0.18"
"fraud_Smitham-Schiller","1126","2","61348.39","18.92","0.18"
"fraud_Swaniawski, Bahringer and Ledner","1100","2","59931.26","28.57","0.18"
"fraud_Trantow PLC","1104","2","59586.04","21.13","0.18"
"fraud_Waelchi Inc","2820","5","162297.11","65.66","0.18"
"fraud_Will Ltd","2278","4","116394.52","524.63","0.18"
"fraud_Yost, Schamberger and Windler","2837","5","163578.36","81.48","0.18"
"fraud_Klein Group","2307","4","151606.96","2185.11","0.17"
"fraud_Stokes, Christiansen and Sipes","1154","2","61504.58","24.29","0.17"
"fraud_Abbott-Rogahn","2295","4","148146.16","2007.40","0.17"
"fraud_Grimes LLC","2358","4","151712.90","1992.10","0.17"
"fraud_Kautzer and Sons","2307","4","115010.34","84.11","0.17"
"fraud_Bauch-Blanda","2317","4","148355.72","2228.66","0.17"
"fraud_Hoppe, Harris and Bednar","2295","4","146824.09","1800.64","0.17"
"fraud_Moore, Williamson and Emmerich","3026","5","172445.08","1324.37","0.17"
"fraud_Upton PLC","2326","4","149186.64","1792.22","0.17"
"fraud_Runolfsdottir, Mueller and Hand","2365","4","149666.07","1960.35","0.17"
"fraud_Turcotte, McKenzie and Koss","2359","4","152521.39","2259.31","0.17"
"fraud_Runte-Mohr","2313","4","114415.23","433.05","0.17"
"fraud_Nienow, Barrows and Romaguera","2333","4","111255.44","136.38","0.17"
"fraud_Tromp, Kerluke and Glover","1145","2","59880.44","23.63","0.17"
"fraud_Daugherty-Thompson","2295","4","116636.81","521.94","0.17"
"fraud_Dicki Ltd","1155","2","62234.43","26.33","0.17"
"fraud_Schiller Ltd","2297","4","108039.69","137.80","0.17"
"fraud_Witting, Beer and Ernser","2994","5","171633.23","1241.59","0.17"
"fraud_Fadel, Mertz and Rippin","2339","4","150795.88","2070.24","0.17"
"fraud_Kling-Ernser","2330","4","152811.94","1876.24","0.17"
"fraud_Dickinson Ltd","4294","7","239098.40","194.48","0.16"
"fraud_Boehm, Block and Jakubowski","1904","3","113250.83","996.51","0.16"
"fraud_Greenholt Ltd","2057","3","113323.64","61.72","0.15"
"fraud_Turcotte-Halvorson","1971","3","122003.28","1589.56","0.15"
"fraud_Klocko, Runolfsdottir and Breitenberg","2067","3","111932.87","54.91","0.15"
"fraud_Breitenberg-Hermiston","2732","4","154280.29","67.55","0.15"
"fraud_Block Group","1956","3","122887.51","22.15","0.15"
"fraud_Bednar PLC","2693","4","153675.00","80.10","0.15"
"fraud_Waelchi-Wolf","2725","4","162709.34","55.70","0.15"
"fraud_McCullough LLC","2046","3","122606.70","806.62","0.15"
"fraud_Friesen Ltd","2128","3","116616.08","57.17","0.14"
"fraud_Lang, Towne and Schuppe","2788","4","163074.90","66.31","0.14"
"fraud_Hamill-D'Amore","2136","3","116715.42","65.17","0.14"
"fraud_Hills, Hegmann and Schaefer","2142","3","115172.55","61.19","0.14"
"fraud_Hintz, Bauch and Smith","2114","3","113671.40","64.54","0.14"
"fraud_Swaniawski, Nitzsche and Welch","2147","3","116508.49","63.39","0.14"
"fraud_Weber, Thiel and Hammes","2769","4","157040.63","82.93","0.14"
"fraud_Metz, Russel and Metz","2766","4","160165.68","81.07","0.14"
"fraud_Medhurst, Cartwright and Ebert","2196","3","104295.98","58.46","0.14"
"fraud_Carroll PLC","2128","3","115334.34","59.76","0.14"
"fraud_Waters-Cruickshank","2188","3","119767.64","59.66","0.14"
"fraud_Romaguera Ltd","2099","3","113427.61","56.76","0.14"
"fraud_Champlin and Sons","2896","4","172007.91","1047.63","0.14"
"fraud_Rau-Robel","2850","4","164141.17","83.25","0.14"
"fraud_Conroy-Emard","2219","3","111976.40","379.25","0.14"
"fraud_Crona and Sons","2809","4","163590.27","76.65","0.14"
"fraud_Cronin, Kshlerin and Weber","2127","3","114264.11","62.03","0.14"
"fraud_Lowe, Dietrich and Erdman","2786","4","162678.26","83.26","0.14"
"fraud_Bahringer Group","2115","3","114175.05","56.93","0.14"
"fraud_Gleason and Sons","2796","4","159073.39","81.73","0.14"
"fraud_Kertzmann LLC","2100","3","114221.36","65.86","0.14"
"fraud_Connelly-Carter","3095","4","178823.43","1001.27","0.13"
"fraud_Reinger, Weissnat and Strosin","2294","3","114757.63","357.89","0.13"
"fraud_Padberg-Rogahn","2297","3","147131.71","1216.88","0.13"
"fraud_Osinski Inc","2277","3","109453.65","64.70","0.13"
"fraud_O'Reilly, Mohr and Purdy","3105","4","183199.46","963.86","0.13"
"fraud_O'Connell-Ullrich","3016","4","171273.43","1004.58","0.13"
"fraud_Mueller, Gerhold and Mueller","2239","3","123273.90","61.37","0.13"
"fraud_McCullough, Hudson and Schuster","2252","3","113937.39","364.75","0.13"
"fraud_Leannon-Ward","2295","3","118875.99","383.39","0.13"
"fraud_Langosh, Wintheiser and Hyatt","2255","3","113413.59","355.96","0.13"
"fraud_Lakin, Ferry and Beatty","2282","3","117031.37","331.41","0.13"
"fraud_Labadie LLC","2256","3","109136.80","55.55","0.13"
"fraud_Kutch-Wilderman","3040","4","172930.41","927.89","0.13"
"fraud_Kub PLC","2236","3","105719.76","58.80","0.13"
"fraud_Zboncak LLC","2229","3","110618.58","345.34","0.13"
"fraud_Bechtelar-Rippin","2241","3","117056.05","370.76","0.13"
"fraud_Hermiston, Russel and Price","2393","3","121522.80","410.01","0.13"
"fraud_Hagenes, Kohler and Hoppe","2273","3","116874.40","396.84","0.13"
"fraud_Streich Ltd","3029","4","179348.32","1019.60","0.13"
"fraud_Goldner-Lemke","2330","3","145868.75","1443.29","0.13"
"fraud_Friesen-Ortiz","2235","3","109639.51","124.93","0.13"
"fraud_Thiel-Thiel","2379","3","145213.64","1514.79","0.13"
"fraud_Ernser-Feest","3051","4","180876.03","1210.43","0.13"
"fraud_Padberg-Sauer","2977","4","177847.44","983.00","0.13"
"fraud_Cole, Hills and Jewess","3044","4","178432.67","984.36","0.13"
"fraud_Champlin-Casper","3040","4","176602.20","949.87","0.13"
"fraud_White and Sons","3142","4","182983.27","1015.86","0.13"
"fraud_Wilkinson LLC","2248","3","105921.25","86.17","0.13"
"fraud_Armstrong, Walter and Gottlieb","2278","3","118236.64","351.41","0.13"
"fraud_Bins-Tillman","2342","3","149629.72","1527.60","0.13"
"fraud_Bernhard-Lesch","2290","3","116509.26","325.30","0.13"
"fraud_Berge, Kautzer and Harris","2315","3","111074.08","63.11","0.13"
"fraud_Berge-Ullrich","2992","4","174127.00","1067.31","0.13"
"fraud_Beier LLC","2341","3","148206.83","1485.79","0.13"
"fraud_Beier and Sons","3009","4","175644.87","993.02","0.13"
"fraud_Rau-Grant","2838","3","169570.56","56.87","0.11"
"fraud_Wilkinson PLC","2696","3","154876.45","55.69","0.11"
"fraud_Pacocha-Weissnat","2818","3","163960.39","59.73","0.11"
"fraud_Lubowitz-Walter","2780","3","157922.43","60.10","0.11"
"fraud_Collier LLC","3048","3","176449.46","816.02","0.10"
"fraud_Quitzon-Goyette","3110","3","180859.39","734.09","0.10"
"fraud_Jakubowski Inc","3038","3","177891.56","774.68","0.10"
"fraud_Bernier and Sons","2873","3","161772.83","61.98","0.10"
"fraud_Wiza, Schaden and Stark","1997","2","123749.65","58.71","0.10"
"fraud_Heller PLC","2056","2","110570.87","40.20","0.10"
"fraud_Herzog Ltd","1987","2","132246.70","949.00","0.10"
"fraud_Fadel-Hilpert","2073","2","110771.07","46.77","0.10"
"fraud_Wuckert-Goldner","2972","3","170202.48","755.99","0.10"
"fraud_Hettinger, McCullough and Fay","3029","3","178443.05","706.05","0.10"
"fraud_Erdman-Durgan","2057","2","112665.60","47.14","0.10"
"fraud_Eichmann-Kilback","3114","3","183229.83","638.43","0.10"
"fraud_Durgan, Gislason and Spencer","2934","3","170643.85","756.61","0.10"
"fraud_Stark-Koss","3065","3","177873.60","739.25","0.10"
"fraud_Hackett Group","1042","1","143682.94","8.33","0.10"
"fraud_Johnston-Casper","1039","1","120335.09","10.00","0.10"
"fraud_Kunze, Larkin and Mayert","1002","1","138677.04","9.71","0.10"
"fraud_Treutel-King","959","1","80093.14","10.53","0.10"
"fraud_Turcotte, Batz and Buckridge","2030","2","108864.45","41.97","0.10"
"fraud_Turner LLC","1005","1","101130.47","8.73","0.10"
"fraud_Simonis-Prohaska","1939","2","120139.85","58.67","0.10"
"fraud_Reilly LLC","2945","3","170762.15","930.06","0.10"
"fraud_Roob-Okuneva","2105","2","113740.67","43.13","0.10"
"fraud_McLaughlin, Armstrong and Koepp","1023","1","84505.78","10.51","0.10"
"fraud_Romaguera and Sons","1010","1","108076.09","7.90","0.10"
"fraud_Breitenberg LLC","1010","1","97191.58","3.10","0.10"
"fraud_O'Connell, Botsford and Hand","3080","3","181512.29","789.72","0.10"
"fraud_Kulas Group","2137","2","116528.78","39.47","0.09"
"fraud_Bahringer-Larson","1087","1","58161.76","15.85","0.09"
"fraud_Schulist Ltd","2300","2","120532.14","255.59","0.09"
"fraud_Stiedemann Ltd","2244","2","112507.72","221.95","0.09"
"fraud_Kemmer-Reinger","1133","1","61523.49","15.63","0.09"
"fraud_Dach-Borer","1114","1","59023.64","14.53","0.09"
"fraud_Cummings Group","1084","1","58462.26","13.57","0.09"
"fraud_Zemlak, Tillman and Cremin","2194","2","107589.30","38.18","0.09"
"fraud_Fritsch and Sons","2113","2","112061.60","42.96","0.09"
"fraud_Kihn, Brakus and Goyette","2269","2","105140.87","44.53","0.09"
"fraud_Feil-Morar","2150","2","118337.59","36.21","0.09"
"fraud_Mante, Luettgen and Hackett","2155","2","117195.94","42.80","0.09"
"fraud_Fadel Inc","2193","2","118071.05","45.60","0.09"
"fraud_Johns-Hoeger","2319","2","145655.73","1067.31","0.09"
"fraud_Connelly PLC","2326","2","118781.82","221.39","0.09"
"fraud_Morar Inc","1118","1","60295.94","9.15","0.09"
"fraud_Jast and Sons","2214","2","111549.41","268.56","0.09"
"fraud_Ortiz Group","1110","1","59000.37","10.54","0.09"
"fraud_Brown, Homenick and Lesch","2161","2","113646.05","40.34","0.09"
"fraud_Reichel, Bradtke and Blanda","1056","1","121399.62","11.62","0.09"
"fraud_Cummerata-Hilpert","2254","2","143372.82","1007.67","0.09"
"fraud_Smitham-Boehm","1088","1","58451.25","9.42","0.09"
"fraud_Hills-Olson","1083","1","58653.86","9.69","0.09"
"fraud_Johns Inc","2311","2","141735.60","856.05","0.09"
"fraud_Kihn-Fritsch","2301","2","118822.83","231.05","0.09"
"fraud_Graham and Sons","2125","2","113359.31","40.08","0.09"
"fraud_Lubowitz, Terry and Stracke","2192","2","104805.66","40.82","0.09"
"fraud_Becker, Harris and Harvey","2378","2","113885.28","97.87","0.08"
"fraud_Volkman PLC","2362","2","117264.44","216.65","0.08"
"fraud_Berge-Hills","2929","2","163927.76","40.78","0.07"
"fraud_Cartwright PLC","2786","2","163202.05","38.40","0.07"
"fraud_Crist, Jakubowski and Littel","3052","2","175119.48","475.53","0.07"
"fraud_Gerhold LLC","2946","2","169016.32","489.56","0.07"
"fraud_Hauck, Dietrich and Funk","2790","2","160540.80","21.33","0.07"
"fraud_Gutmann, McLaughlin and Wiza","3055","2","178191.62","490.68","0.07"
"fraud_Goyette-Gerhold","2855","2","169108.57","40.15","0.07"
"fraud_Pollich LLC","3093","2","178647.14","538.14","0.06"
"fraud_Denesik, Powlowski and Pouros","3139","2","180345.40","518.81","0.06"
"fraud_Medhurst Inc","3097","2","174012.78","469.59","0.06"
"fraud_Rippin-VonRueden","2150","1","119122.73","19.17","0.05"
"fraud_Schmeler Inc","1976","1","120082.41","686.71","0.05"
"fraud_Dietrich-Fadel","2165","1","115997.62","25.26","0.05"
"fraud_Kub-Heaney","2144","1","112844.52","18.89","0.05"
"fraud_Torp, Muller and Borer","2141","1","116519.28","21.37","0.05"
"fraud_Torphy-Kertzmann","2057","1","110612.63","25.43","0.05"
"fraud_Hermiston, Pacocha and Smith","2024","1","109470.74","21.55","0.05"
"fraud_Schaefer, Fay and Hilll","2303","1","140219.74","408.60","0.04"
"fraud_Kuphal-Toy","2269","1","119575.75","128.06","0.04"
"fraud_Deckow-Dare","2260","1","116422.91","111.46","0.04"
"fraud_Parker, Nolan and Trantow","2431","1","151852.68","637.33","0.04"
"fraud_Schumm, McLaughlin and Carter","2237","1","114404.08","126.28","0.04"
"fraud_Jakubowski Group","2240","1","115236.44","119.52","0.04"
"fraud_Lesch, D'Amore and Brown","2277","1","111661.04","124.56","0.04"
"fraud_Bode-Rempel","2841","1","158331.70","19.52","0.04"
"fraud_Weber and Sons","2242","1","113605.13","149.33","0.04"
"fraud_Schmidt-Larkin","2966","1","168073.35","220.31","0.03"
"fraud_Prosacco, Kreiger and Kovacek","2991","1","171273.54","274.60","0.03"
"fraud_Reichert-Weissnat","983","0","126219.66","0.00","0.00"
"fraud_Ritchie, Bradtke and Stiedemann","947","0","110064.21","0.00","0.00"
"fraud_Wiegand-Lowe","1114","0","59927.70","0.00","0.00"
"fraud_Hodkiewicz, Prohaska and Paucek","979","0","95992.65","0.00","0.00"
"fraud_McKenzie-Huels","2256","0","111951.32","0.00","0.00"
"fraud_Kohler, Lindgren and Koelpin","1001","0","53070.63","0.00","0.00"
"fraud_Gulgowski LLC","3086","0","184177.37","0.00","0.00"
"fraud_Kihn-Schuster","2237","0","113423.71","0.00","0.00"
"fraud_Paucek-Wiza","1123","0","59825.32","0.00","0.00"
"fraud_Schroeder Group","2090","0","112632.71","0.00","0.00"
"fraud_Windler LLC","2756","0","160108.54","0.00","0.00"
