"city","total_trans","fraud_trans","fraud_rate","fraud_amount"
"Hewitt","2528","8","0.32","3090.61"
"Steuben","2507","8","0.32","4613.21"
"Marathon","2514","8","0.32","4586.89"
"Altair","2509","8","0.32","3375.92"
"June Lake","1901","6","0.32","3265.60"
"Belfast","1886","6","0.32","3025.45"
"Redford","3176","10","0.31","3972.23"
"Cochranton","3183","10","0.31","5270.85"
"Elizabeth","3181","10","0.31","6599.49"
"Scotland","3175","10","0.31","1900.83"
"Sacramento","2551","8","0.31","2989.80"
"Helm","2560","8","0.31","2437.87"
"Cromona","2553","8","0.31","5146.22"
"Surrency","2546","8","0.31","5695.97"
"Mc Nabb","2552","8","0.31","6452.52"
"Mountain Park","2560","8","0.31","2113.38"
"Saint Petersburg","2549","8","0.31","4596.15"
"New Boston","2543","8","0.31","3155.72"
"Loxahatchee","1922","6","0.31","2924.90"
"Rhame","1920","6","0.31","4020.35"
"Cranks","1917","6","0.31","3087.82"
"Spearsville","1289","4","0.31","1751.41"
"Conway","5687","17","0.30","9573.20"
"Centerview","3779","11","0.29","5764.85"
"Whaleyville","3782","11","0.29","5164.19"
"East Canaan","3784","11","0.29","7504.02"
"Shields","3820","11","0.29","8497.94"
"Topeka","3799","11","0.29","5401.79"
"Wilmington","3802","11","0.29","7473.07"
"Heart Butte","3797","11","0.29","3536.49"
"Saint Amant","3157","9","0.29","2560.35"
"Meridian","6378","18","0.28","6267.58"
"Haw River","3205","9","0.28","3111.64"
"Riverton","2535","7","0.28","4957.01"
"Manville","2543","7","0.28","2916.03"
"Matawan","2514","7","0.28","4832.61"
"Heiskell","2500","7","0.28","4667.97"
"Barneveld","2502","7","0.28","3265.92"
"Phoenix","6341","17","0.27","6576.44"
"Edisto Island","3763","10","0.27","5904.31"
"Tulsa","3765","10","0.27","8028.07"
"Elberta","3772","10","0.27","4186.11"
"Greenwich","2553","7","0.27","4504.32"
"Breesport","2548","7","0.27","2804.32"
"Princeton","1874","5","0.27","2261.68"
"Wetmore","3781","10","0.26","4290.74"
"Lanark Village","3110","8","0.26","3519.21"
"Manley","1913","5","0.26","4323.23"
"Juliette","1897","5","0.26","629.30"
"Blairstown","1927","5","0.26","2767.10"
"Browning","1916","5","0.26","4073.18"
"Orient","4462","11","0.25","5439.18"
"Moriarty","3144","8","0.25","5535.43"
"Bessemer","3163","8","0.25","6302.32"
"West Sayville","3185","8","0.25","1778.89"
"Denham Springs","3140","8","0.25","6843.81"
"Coleharbor","2502","6","0.24","3441.24"
"Napa","2526","6","0.24","1869.45"
"Deltona","1270","3","0.24","1753.04"
"Bellmore","3111","7","0.23","2810.07"
"Burbank","5051","11","0.22","4387.67"
"Fulton","5012","11","0.22","5779.40"
"Thida","3712","8","0.22","7108.58"
"Spencer","3170","7","0.22","2966.53"
"Murfreesboro","3162","7","0.22","3438.67"
"North Wilkesboro","3189","7","0.22","991.38"
"Drakes Branch","3144","7","0.22","2180.00"
"Sachse","3146","7","0.22","3111.53"
"New Holstein","3139","7","0.22","4536.39"
"Norwalk","3824","8","0.21","3776.84"
"Goodrich","3795","8","0.21","5272.19"
"Rocky Mount","3799","8","0.21","4182.27"
"Bauxite","3729","8","0.21","883.71"
"Ruth","1891","4","0.21","1466.62"
"Holloway","1904","4","0.21","1913.83"
"Port Gibson","1877","4","0.21","2194.12"
"Dunlevy","2503","5","0.20","2406.52"
"Port Costa","2548","5","0.20","2332.33"
"North Washington","2521","5","0.20","3159.93"
"Noonan","2563","5","0.20","1914.44"
"Morrisdale","3746","7","0.19","3702.21"
"Grover","3163","6","0.19","2198.38"
"Jones","3812","7","0.18","3452.85"
"Thomas","5710","9","0.16","3648.18"
"Norman","3778","6","0.16","3605.26"
"Ranier","3764","6","0.16","3745.15"
"May","2516","4","0.16","1656.83"
"Grassflat","2518","4","0.16","1066.72"
"Prairie Hill","2548","4","0.16","2860.83"
"Valdosta","1904","3","0.16","1095.47"
"Aledo","1259","2","0.16","614.11"
"Philadelphia","4491","6","0.13","1381.56"
"Baton Rouge","3789","5","0.13","844.96"
"Pembroke Township","3767","5","0.13","2663.99"
"De Soto","3780","5","0.13","1634.48"
"Hurricane","2544","3","0.12","55.21"
"Manistique","3751","4","0.11","855.73"
"Sun City","3813","4","0.10","882.67"
"Ronceverte","3152","3","0.10","512.13"
"Tupper Lake","3767","3","0.08","961.30"
"Grandview","3787","3","0.08","1124.46"
"Newhall","3767","3","0.08","1265.48"
"Florence","3785","3","0.08","955.92"
"Phenix City","2542","2","0.08","25.40"
"Notrees","2535","2","0.08","867.49"
"Laramie","2534","2","0.08","1539.24"
"Sherman","3212","2","0.06","1173.88"
"Littleton","3781","2","0.05","150.04"
"Stittville","629","0","0.00","0.00"
"Stoneham","627","0","0.00","0.00"
"Mc Cracken","1890","0","0.00","0.00"
"Mayersville","2517","0","0.00","0.00"
"Superior","3786","0","0.00","0.00"
"Espanola","3176","0","0.00","0.00"
"Bowersville","1896","0","0.00","0.00"
"Tallmansville","2511","0","0.00","0.00"
"Marietta","628","0","0.00","0.00"
"Marienville","1916","0","0.00","0.00"
"Harmony","622","0","0.00","0.00"
"Comfrey","2524","0","0.00","0.00"
"Blooming Grove","3151","0","0.00","0.00"
"Ratcliff","2540","0","0.00","0.00"
"Margaretville","1891","0","0.00","0.00"
"Blackville","1888","0","0.00","0.00"
"Cord","2528","0","0.00","0.00"
"Tomahawk","1869","0","0.00","0.00"
"Corona","1269","0","0.00","0.00"
"Esbon","3184","0","0.00","0.00"
"Oakford","636","0","0.00","0.00"
"Oaks","1884","0","0.00","0.00"
"Mallie","2551","0","0.00","0.00"
"Cowlesville","1906","0","0.00","0.00"
"Hatch","1917","0","0.00","0.00"
"Lubbock","1248","0","0.00","0.00"
"Elkhart","1905","0","0.00","0.00"
"Prairie Creek","626","0","0.00","0.00"
"Belgrade","2517","0","0.00","0.00"
"Hawley","1923","0","0.00","0.00"
"Cross","620","0","0.00","0.00"
"El Paso","641","0","0.00","0.00"
"Louisiana","629","0","0.00","0.00"
"Heidelberg","1274","0","0.00","0.00"
"Curlew","631","0","0.00","0.00"
"Cuyahoga Falls","1878","0","0.00","0.00"
"Henderson","1908","0","0.00","0.00"
"Vienna","629","0","0.00","0.00"
"Logan","2531","0","0.00","0.00"
"Baroda","1887","0","0.00","0.00"
"Hills","632","0","0.00","0.00"
"Hinckley","3776","0","0.00","0.00"
"Lima","1884","0","0.00","0.00"
"Dadeville","639","0","0.00","0.00"
"Ballwin","1868","0","0.00","0.00"
"Leo","2521","0","0.00","0.00"
"Holstein","2551","0","0.00","0.00"
"Damascus","622","0","0.00","0.00"
"Avera","1259","0","0.00","0.00"
"Hopewell","631","0","0.00","0.00"
"Athena","1893","0","0.00","0.00"
"Atglen","1262","0","0.00","0.00"
"Daniels","621","0","0.00","0.00"
"Hudson","4452","0","0.00","0.00"
"Ashford","1264","0","0.00","0.00"
"Ash Flat","1901","0","0.00","0.00"
"Pittsburgh","2527","0","0.00","0.00"
"West Green","1261","0","0.00","0.00"
"Kirtland Afb","1283","0","0.00","0.00"
"West Hartford","2503","0","0.00","0.00"
"West Long Branch","624","0","0.00","0.00"
"Huslia","622","0","0.00","0.00"
"Kirk","1254","0","0.00","0.00"
"Iliff","1257","0","0.00","0.00"
"Kingsport","1268","0","0.00","0.00"
"Kingsford Heights","3771","0","0.00","0.00"
"Paint Rock","1905","0","0.00","0.00"
"Wheaton","2546","0","0.00","0.00"
"Kings Bay","646","0","0.00","0.00"
"Altonah","2522","0","0.00","0.00"
"Kilgore","1867","0","0.00","0.00"
"Kensington","3161","0","0.00","0.00"
"Alton","1246","0","0.00","0.00"
"Pewee Valley","1264","0","0.00","0.00"
"Indian Wells","1883","0","0.00","0.00"
"Palermo","1925","0","0.00","0.00"
"Palmyra","630","0","0.00","0.00"
"Winger","2543","0","0.00","0.00"
"Karnack","1898","0","0.00","0.00"
"Irvine","1896","0","0.00","0.00"
"Alexandria","1254","0","0.00","0.00"
"Woods Cross","640","0","0.00","0.00"
"Pearlington","638","0","0.00","0.00"
"Jordan Valley","626","0","0.00","0.00"
"Dumont","1878","0","0.00","0.00"
"Rule","1882","0","0.00","0.00"
"Fordoche","2534","0","0.00","0.00"
"Saint Bonaventure","2517","0","0.00","0.00"
"Achille","639","0","0.00","0.00"
"Clay Center","1881","0","0.00","0.00"
"San Angelo","652","0","0.00","0.00"
"Munith","1867","0","0.00","0.00"
"Ferney","648","0","0.00","0.00"
"Fenelton","3177","0","0.00","0.00"
"Freedom","2501","0","0.00","0.00"
"Mount Hope","2516","0","0.00","0.00"
"Scarborough","1908","0","0.00","0.00"
"Gaithersburg","638","0","0.00","0.00"
"Moundsville","3123","0","0.00","0.00"
"Garfield","641","0","0.00","0.00"
"Rockwell","630","0","0.00","0.00"
"Girard","628","0","0.00","0.00"
"Moro","1909","0","0.00","0.00"
"Burlington","2494","0","0.00","0.00"
"Seneca","1899","0","0.00","0.00"
"Glade Spring","1266","0","0.00","0.00"
"Mooresville","1892","0","0.00","0.00"
"Riverview","627","0","0.00","0.00"
"Brunson","3164","0","0.00","0.00"
"Montrose","1266","0","0.00","0.00"
"Slayden","1247","0","0.00","0.00"
"Monetta","629","0","0.00","0.00"
"Zaleski","1877","0","0.00","0.00"
"Graniteville","2516","0","0.00","0.00"
"Broomfield","635","0","0.00","0.00"
"Milwaukee","1880","0","0.00","0.00"
"South Hero","1265","0","0.00","0.00"
"Mill Creek","1909","0","0.00","0.00"
"Brooklyn","2536","0","0.00","0.00"
"Ringwood","1259","0","0.00","0.00"
"Fairview","1892","0","0.00","0.00"
"Bristow","1248","0","0.00","0.00"
"Methuen","2518","0","0.00","0.00"
"Metairie","1270","0","0.00","0.00"
"Springfield","3168","0","0.00","0.00"
"Bridgeport","1869","0","0.00","0.00"
"North Haverhill","633","0","0.00","0.00"
"Coleman","1888","0","0.00","0.00"
"Greenville","1246","0","0.00","0.00"
"Melbourne","1256","0","0.00","0.00"
"Brainard","625","0","0.00","0.00"
"North Loup","2570","0","0.00","0.00"
"Grimesland","1253","0","0.00","0.00"
