"merchant","total_transactions","fraud_count"
"fraud_Pfeffer LLC","1088","2"
"fraud_Simonis-Prohaska","1939","2"
"fraud_Hauck, Dietrich and Funk","2790","2"
"fraud_Trantow PLC","1104","2"
"fraud_Crist, Jakubowski and Littel","3052","2"
"fraud_Herzog Ltd","1987","2"
"fraud_Tromp, Kerluke and Glover","1145","2"
"fraud_Wiza, Schaden and Stark","1997","2"
"fraud_Turcotte, Batz and Buckridge","2030","2"
"fraud_Jast and Sons","2214","2"
"fraud_Medhurst, Labadie and Gottlieb","964","2"
"fraud_Kihn-Fritsch","2301","2"
"fraud_Kihn, Brakus and Goyette","2269","2"
"fraud_Jerde-Hermann","964","2"
"fraud_Connelly PLC","2326","2"
"fraud_Johns-Hoeger","2319","2"
"fraud_Swaniawski, Bahringer and Ledner","1100","2"
"fraud_Veum-Koelpin","1020","2"
"fraud_Romaguera and Sons","1010","1"
"fraud_Deckow-Dare","2260","1"
"fraud_Lesch, D'Amore and Brown","2277","1"
"fraud_Dach-Borer","1114","1"
"fraud_Cummings Group","1084","1"
"fraud_Morar Inc","1118","1"
"fraud_Hermiston, Pacocha and Smith","2024","1"
"fraud_Reichel, Bradtke and Blanda","1056","1"
"fraud_Hills-Olson","1083","1"
"fraud_Prosacco, Kreiger and Kovacek","2991","1"
"fraud_Kuphal-Toy","2269","1"
"fraud_Jakubowski Group","2240","1"
"fraud_Torp, Muller and Borer","2141","1"
"fraud_Breitenberg LLC","1010","1"
"fraud_Torphy-Kertzmann","2057","1"
"fraud_Parker, Nolan and Trantow","2431","1"
"fraud_Treutel-King","959","1"
"fraud_Bahringer-Larson","1087","1"
"fraud_Turner LLC","1005","1"
"fraud_Bode-Rempel","2841","1"
"fraud_McLaughlin, Armstrong and Koepp","1023","1"
"fraud_Johnston-Casper","1039","1"
"fraud_Ortiz Group","1110","1"
"fraud_Schaefer, Fay and Hilll","2303","1"
"fraud_Kunze, Larkin and Mayert","1002","1"
"fraud_Kub-Heaney","2144","1"
"fraud_Schmeler Inc","1976","1"
"fraud_Schmidt-Larkin","2966","1"
"fraud_Schumm, McLaughlin and Carter","2237","1"
"fraud_Hackett Group","1042","1"
"fraud_Rippin-VonRueden","2150","1"
"fraud_Weber and Sons","2242","1"
"fraud_Kemmer-Reinger","1133","1"
"fraud_Smitham-Boehm","1088","1"
"fraud_Dietrich-Fadel","2165","1"
"fraud_Wiegand-Lowe","1114","0"
"fraud_McKenzie-Huels","2256","0"
"fraud_Paucek-Wiza","1123","0"
"fraud_Kohler, Lindgren and Koelpin","1001","0"
"fraud_Schroeder Group","2090","0"
"fraud_Gulgowski LLC","3086","0"
"fraud_Hodkiewicz, Prohaska and Paucek","979","0"
"fraud_Windler LLC","2756","0"
"fraud_Ritchie, Bradtke and Stiedemann","947","0"
"fraud_Kihn-Schuster","2237","0"
"fraud_Reichert-Weissnat","983","0"
